# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    1     36     66      -      0      0      0      0      -      -    715    405      0      0      0      2      0      -      -      0      0      0 
    2     36     59      -      0      0      0      0      -      -    715    405      0      0      0      2      0      0      0      0      0      0 
    3     30     55      -      0      0      0      0      -      -    715    405      0      0      0      2      0      0      0      0      0      0 
    0     36     73      -      0      0      0      0      -      -    715    405      0      0      0      2      0      -      -      0      0      0 
    1     36     67      -      0      0      0      0      -      -    715    405      0      0      0      2      0      -      -      0      0      0 
    2     36     59      -      0      0      0      0      -      -    715    405      0      0      0      2      0      0      0      0      0      0 
    3     30     55      -      0      0      0      0      -      -    715    405      0      0      0      2      0      0      0      0      0      0 
    0     36     73      -      0      0      0      0      -      -    715    405      0      0      0      2      0      -      -      0      0      0 
    1     36     66      -      0      0      0      0      -      -    715    405      0      0      0      2      0      -      -      0      0      0 
    2     36     59      -      0      0      0      0      -      -    715    405      0      0      0      2      0      0      0      0      0      0 
    3     30     55      -      0      0      0      0      -      -    715    405      0      0      0      2      0      0      0      0      0      0 
    0     36     73      -      0      0      0      0      -      -    715    405      0      0      0      2      0      -      -      0      0      0 
    1     36     66      -      0      0      0      0      -      -    715    405      0      0      0      2      0      -      -      0      0      0 
    2     36     59      -      0      0      0      0      -      -    715    405      0      0      0      2      0      0      0      0      0      0 
    3     30     55      -      0      0      0      0      -      -    715    405      0      0      0      2      0      0      0      0      0      0 
    0     36     73      -      0      0      0      0      -      -    715    405      0      0      0      2      0      -      -      0      0      0 
    1     36     66      -      0      0      0      0      -      -    715    405      0      0      0      2      0      -      -      0      0      0 
    2     36     59      -      0      0      0      0      -      -    715    405      0      0      0      2      0      0      0      0      0      0 
    3     30     55      -      0      0      0      0      -      -    715    405      0      0      0      2      0      0      0      0      0      0 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     36     73      -      0      0      0      0      -      -    715    405      0      0      0      2      0      -      -      0      0      0 
    1     36     66      -      0      0      0      0      -      -    715    405      0      0      0      2      0      -      -      0      0      0 
    2     36     59      -      0      0      0      0      -      -    715    405      0      0      0      2      0      0      0      0      0      0 
    3     30     55      -      0      0      0      0      -      -    715    405      0      0      0      2      0      0      0      0      0      0 
    0     36     73      -      0      0      0      0      -      -    715    405      0      0      0      2      0      -      -      0      0      0 
    1     36     66      -      0      0      0      0      -      -    715    405      0      0      0      2      0      -      -      0      0      0 
    2     36     59      -      0      0      0      0      -      -    715    405      0      0      0      2      0      0      0      0      0      0 
    3     30     54      -      0      0      0      0      -      -    715    405      0      0      0      2      0      0      0      0      0      0 
    0     36     73      -      0      0      0      0      -      -    715    405      0      0      0      2      0      -      -      0      0      0 
    1     36     66      -      0      0      0      0      -      -    715    405      0      0      0      2      0      -      -      0      0      0 
    2     36     59      -      0      0      0      0      -      -    715    405      0      0      0      2      0      0      0      0      0      0 
    3     30     54      -      0      0      0      0      -      -    715    405      0      0      0      2      0      0      0      0      0      0 
    0     36     73      -      0      0      0      0      -      -    715    405      0      0      0      2      0      -      -      0      0      0 
    1     36     66      -      0      0      0      0      -      -    715    405      0      0      0      2      0      -      -      0      0      0 
    2     35     59      -      0      0      0      0      -      -    715    405      0      0      0      2      0      0      0      0      0      0 
    3     30     55      -      0      0      0      0      -      -    715    405      0      0      0      2      0      0      0      0      0      0 
    0     36     73      -      0      0      0      0      -      -    715    405      0      0      0      2      0      -      -      0      0      0 
    1     36     66      -      0      0      0      0      -      -    715    405      0      0      0      2      0      -      -      0      0      0 
    2     36     59      -      0      0      0      0      -      -    715    405      0      0      0      2      0      0      0      0      0      0 
    3     30     54      -      0      0      0      0      -      -    715    405      0      0      0      2      0      0      0      0      0      0 
    0     36     73      -      0      0      0      0      -      -    715    405      0      0      0      2      0      -      -      0      0      0 
    1     36     66      -      0      0      0      0      -      -    715    405      0      0      0      2      0      -      -      0      0      0 
    2     35     59      -      0      0      0      0      -      -    715    405      0      0      0      2      0      0      0      0      0      0 
    3     29     54      -      0      0      0      0      -      -    715    405      0      0      0      2      0      0      0      0      0      0 
    0     36     73      -      0      0      0      0      -      -    715    405      0      0      0      2      0      -      -      0      0      0 
    1     36     66      -      0      0      0      0      -      -    715    405      0      0      0      2      0      -      -      0      0      0 
    2     36     59      -      0      0      0      0      -      -    715    405      0      0      0      2      0      0      0      0      0      0 
    3     29     54      -      0      0      0      0      -      -    715    405      0      0      0      2      0      0      0      0      0      0 
    0     36     73      -      0      0      0      0      -      -    715    405      0      0      0      2      0      -      -      0      0      0 
    1     36     66      -      0      0      0      0      -      -    715    405      0      0      0      2      0      -      -      0      0      0 
    2     35     59      -      0      0      0      0      -      -    715    405      0      0      0      2      0      0      0      0      0      0 
    3     29     54      -      0      0      0      0      -      -    715    405      0      0      0      2      0      0      0      0      0      0 
    0     36     73      -      0      0      0      0      -      -    715    405      0      0      0      2      0      -      -      0      0      0 
    1     36     66      -      0      0      0      0      -      -    715    405      0      0      0      2      0      -      -      0      0      0 
    2     35     59      -      0      0      0      0      -      -    715    405      0      0      0      2      0      0      0      0      0      0 
    3     29     54      -      0      0      0      0      -      -    715    405      0      0      0      2      0      0      0      0      0      0 
    0     36     73      -      0      0      0      0      -      -    715    405      0      0      0      2      0      -      -      0      0      0 
    1     36     66      -      0      0      0      0      -      -    715    405      0      0      0      2      0      -      -      0      0      0 
    2     35     59      -      0      0      0      0      -      -    715    405      0      0      0      2      0      0      0      0      0      0 
    3     29     54      -      0      0      0      0      -      -    715    405      0      0      0      2      0      0      0      0      0      0 
    0     36     73      -      0      0      0      0      -      -    715    405      0      0      0      2      0      -      -      0      0      0 
    1     36     66      -      0      0      0      0      -      -    715    405      0      0      0      2      0      -      -      0      0      0 
    2     35     59      -      0      0      0      0      -      -    715    405      0      0      0      2      0      0      0      0      0      0 
    3     29     54      -      0      0      0      0      -      -    715    405      0      0      0      2      0      0      0      0      0      0 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     36     73      -      0      0      0      0      -      -    715    405      0      0      0      2      0      -      -      0      0      0 
    1     36     66      -      0      0      0      0      -      -    715    405      0      0      0      2      0      -      -      0      0      0 
    2     35     59      -      0      0      0      0      -      -    715    405      0      0      0      2      0      0      0      0      0      0 
    3     29     54      -      0      0      0      0      -      -    715    405      0      0      0      2      0      0      0      0      0      0 
    0     36     73      -      0      0      0      0      -      -    715    405      0      0      0      2      0      -      -      0      0      0 
    1     36     66      -      0      0      0      0      -      -    715    405      0      0      0      2      0      -      -      0      0      0 
    2     35     58      -      0      0      0      0      -      -    715    405      0      0      0      2      0      0      0      0      0      0 
    3     29     54      -      0      0      0      0      -      -    715    405      0      0      0      2      0      0      0      0      0      0 
    0     36     73      -      0      0      0      0      -      -    715    405      0      0      0      2      0      -      -      0      0      0 
    1     36     66      -      0      0      0      0      -      -    715    405      0      0      0      2      0      -      -      0      0      0 
    2     35     59      -      0      0      0      0      -      -    715    405      0      0      0      2      0      0      0      0      0      0 
    3     29     54      -      0      0      0      0      -      -    715    405      0      0      0      2      0      0      0      0      0      0 
    0     36     73      -      0      0      0      0      -      -    715    405      0      0      0      2      0      -      -      0      0      0 
    1     35     66      -      0      0      0      0      -      -    715    405      0      0      0      2      0      -      -      0      0      0 
    2     35     58      -      0      0      0      0      -      -    715    405      0      0      0      2      0      0      0      0      0      0 
    3     29     54      -      0      0      0      0      -      -    715    405      0      0      0      2      0      0      0      0      0      0 
    0     36     73      -      0      0      0      0      -      -    715    405      0      0      0      2      0      -      -      0      0      0 
    1     35     66      -      0      0      0      0      -      -    715    405      0      0      0      2      0      -      -      0      0      0 
    2     35     59      -      0      0      0      0      -      -    715    405      0      0      0      2      0      0      0      0      0      0 
    3     29     54      -      0      0      0      0      -      -    715    405      0      0      0      2      0      0      0      0      0      0 
    0     36     73      -      0      0      0      0      -      -    715    405      0      0      0      2      0      -      -      0      0      0 
    1     36     66      -      0      0      0      0      -      -    715    405      0      0      0      2      0      -      -      0      0      0 
    2     35     58      -      0      0      0      0      -      -    715    405      0      0      0      2      0      0      0      0      0      0 
    3     29     54      -      0      0      0      0      -      -    715    405      0      0      0      2      0      0      0      0      0      0 
    0     36     73      -      0      0      0      0      -      -    715    405      0      0      0      2      0      -      -      0      0      0 
    1     36     66      -      0      0      0      0      -      -    715    405      0      0      0      2      0      -      -      0      0      0 
    2     35     58      -      0      0      0      0      -      -    715    405      0      0      0      2      0      0      0      0      0      0 
    3     29     54      -      0      0      0      0      -      -    715    405      0      0      0      2      0      0      0      0      0      0 
    0     36     73      -      0      0      0      0      -      -    715    405      0      0      0      2      0      -      -      0      0      0 
    1     36     66      -      0      0      0      0      -      -    715    405      0      0      0      2      0      -      -      0      0      0 
    2     35     58      -      0      0      0      0      -      -    715    405      0      0      0      2      0      0      0      0      0      0 
    3     29     54      -      0      0      0      0      -      -    715    405      0      0      0      2      0      0      0      0      0      0 
